Scenario,TrainEnd,TestStart,TestEnd,FeatureSet,Model,ThrObjective,ThrOpt,ThrObjectiveValue_onTrainOOF,Accuracy,BalancedAcc,Precision,Recall,F1,F2,ROC_AUC,PR_AUC
GFC_test_2007_2009,2006-12-01,2007-01-01,2009-12-01,spreads,Logistic,balanced_acc,0.89421,0.7022968197879859,0.5833333333333334,0.5833333333333333,0.8,0.2222222222222222,0.34782608695652173,0.2597402597402597,0.9228395061728396,0.867776182604614
GFC_test_2007_2009,2006-12-01,2007-01-01,2009-12-01,spreads,RandomForest,balanced_acc,0.53992,0.7199646643109541,0.6111111111111112,0.6111111111111112,0.8333333333333334,0.2777777777777778,0.4166666666666667,0.32051282051282054,0.6882716049382716,0.6669091710758378
GFC_test_2007_2009,2006-12-01,2007-01-01,2009-12-01,spreads,GradBoost,balanced_acc,0.001,0.5893330388692579,0.5833333333333334,0.5833333333333333,0.8,0.2222222222222222,0.34782608695652173,0.2597402597402597,0.6929012345679012,0.6807980599647266
GFC_test_2007_2009,2006-12-01,2007-01-01,2009-12-01,spreads,XGBoost,balanced_acc,0.03593,0.7243816254416962,0.6388888888888888,0.6388888888888888,0.8571428571428571,0.3333333333333333,0.48,0.379746835443038,0.6882716049382716,0.6669091710758378
GFC_test_2007_2009,2006-12-01,2007-01-01,2009-12-01,yield_pca,Logistic,balanced_acc,0.0509,0.6395759717314488,0.7777777777777778,0.7777777777777778,0.9166666666666666,0.6111111111111112,0.7333333333333333,0.6547619047619048,0.9166666666666666,0.8620395687949083
GFC_test_2007_2009,2006-12-01,2007-01-01,2009-12-01,yield_pca,RandomForest,balanced_acc,0.0509,0.6837455830388692,0.75,0.75,0.9090909090909091,0.5555555555555556,0.6896551724137931,0.6024096385542169,0.9027777777777777,0.8719811053144385
GFC_test_2007_2009,2006-12-01,2007-01-01,2009-12-01,yield_pca,GradBoost,balanced_acc,0.00599,0.5321333922261484,0.5,0.5,0.0,0.0,0.0,0.0,0.7638888888888888,0.7959337775514247
GFC_test_2007_2009,2006-12-01,2007-01-01,2009-12-01,yield_pca,XGBoost,balanced_acc,0.0509,0.7243816254416962,0.5833333333333334,0.5833333333333333,0.8,0.2222222222222222,0.34782608695652173,0.2597402597402597,0.9058641975308641,0.8732917626557977
COVID_test_2019_2021,2018-12-01,2019-01-01,2021-12-01,spreads,Logistic,balanced_acc,0.58982,0.6692434920178341,0.3055555555555556,0.6323529411764706,0.07407407407407407,1.0,0.13793103448275862,0.2857142857142857,0.7941176470588236,0.1736111111111111
COVID_test_2019_2021,2018-12-01,2019-01-01,2021-12-01,spreads,RandomForest,balanced_acc,0.61976,0.6691715806126852,0.8611111111111112,0.45588235294117646,0.0,0.0,0.0,0.0,0.7352941176470588,0.14285714285714285
COVID_test_2019_2021,2018-12-01,2019-01-01,2021-12-01,spreads,GradBoost,balanced_acc,0.25549,0.5037753487703149,0.75,0.39705882352941174,0.0,0.0,0.0,0.0,0.7205882352941176,0.13247863247863248
COVID_test_2019_2021,2018-12-01,2019-01-01,2021-12-01,spreads,XGBoost,balanced_acc,0.08582999999999999,0.6570545088451027,0.4444444444444444,0.7058823529411764,0.09090909090909091,1.0,0.16666666666666666,0.3333333333333333,0.6470588235294118,0.10882352941176471
COVID_test_2019_2021,2018-12-01,2019-01-01,2021-12-01,yield_pca,Logistic,balanced_acc,0.85429,0.6642816050625628,0.8055555555555556,0.8970588235294117,0.2222222222222222,1.0,0.36363636363636365,0.5882352941176471,0.7941176470588236,0.1736111111111111
COVID_test_2019_2021,2018-12-01,2019-01-01,2021-12-01,yield_pca,RandomForest,balanced_acc,0.34031999999999996,0.6386451891269955,0.6944444444444444,0.8382352941176471,0.15384615384615385,1.0,0.26666666666666666,0.47619047619047616,1.0,1.0
COVID_test_2019_2021,2018-12-01,2019-01-01,2021-12-01,yield_pca,GradBoost,balanced_acc,0.99401,0.590752193297857,0.9444444444444444,0.5,0.0,0.0,0.0,0.0,0.9705882352941176,0.5833333333333333
COVID_test_2019_2021,2018-12-01,2019-01-01,2021-12-01,yield_pca,XGBoost,balanced_acc,0.32535,0.6337552135768733,0.9444444444444444,0.9705882352941176,0.5,1.0,0.6666666666666666,0.8333333333333334,0.9705882352941176,0.75
